ID,Name,Logo,URL,Phone,Email,Address
PROV001,FETIPSA,https://www.fetipsa.com/wp-content/uploads/2020/12/FETIPSA_logo_color.svg,https://www.fetipsa.com/,3338261040,info@fetipsa.com,"AVENIDA LA PAZ, 1331, MODERNA, GUADALAJARA, JAL, C.P. 44190"
3900dab9,ACEROS MURILLO,https://acerosmurillo.com/wp-content/uploads/2022/12/logo-aceros-murillo.jpg,https://acerosmurillo.com/,3313334555,ventasinternet@acerosmurillo.com,"Av. Prol. Colón 5555, Los Cajetes, 45609 San Pedro Tlaquepaque, Jal., México"
83a52293,ROLLER SERVICES,Vendors_Images/83a52293.Logo.170018.png,,3311109814,ventasrollerservices@gmail.com,"Ignacio Ramírez 5374, Cerro del Cuatro, 45599 San Pedro Tlaquepaque, Jal"
1ce673ed,COMPONENTES CARRILLO,Vendors_Images/1ce673ed.Logo.165936.jpg,https://l.facebook.com/l.php?u=http%3A%2F%2Fcomponentescarrillo.com.mx%2F&h=AT1WtXDsMHAMhjQapsLg3rA5-LvETzOi-J8BrVqnV1zmk0Tf0QyzMEZsACkHYfQCcjQALOK8rWP28-1fM0k_4GxgOP28s5E3H2BOiwuUwdntHM6RNRmMvNd1EOzllQ-6QPMvjiV-jACkNQ,3320494009,componentescarrillo@prodigy.net.mx,"Lázaro Cárdenas 2118 44440 Guadalajara, Mexico"
3a4110bf,EVANS,Vendors_Images/3a4110bf.Logo.165952.png,https://evans.com.mx/,3336852300,enlinea@evans.com.mx,Av. Juan Gil Preciado (Carretera a Tesistán) #6363-A C.P. 45138
e0a455a9,RIRSA,Vendors_Images/e0a455a9.Logo.170010.png,https://www.rirsa.mx/es/,3336193302,ventas_gua@rirsa-myvisa.com.mx,"Río Alamo 2589, El Rosario, 44898 Guadalajara, Jal., México"
ab7dd31c,JWELL (CHINA),Vendors_Images/ab7dd31c.Logo.170000.png,https://www.szjwell.cn/,86-15806226208,infdd@jwell.cn,"18 Dong An Lu, Tai Cang Shi, Su Zhou Shi, Jiang Su Sheng, China, 215415"
a5e797e4,TEMPER DE GUADALAJARA,Vendors_Images/a5e797e4.Logo.161422.jpg,https://tempergdl.com.mx/,3335704733,contactogdl@tempergdl.com.mx,"C. Fermín Riestra, Moderna, Guadalajara, Jal., México"
a7cc6f64,MUNDILUB (TOTAL ENERGIES),Vendors_Images/a7cc6f64.Logo.162902.jpg,https://totalenergies.mx/lubricantes-y-especialidades/distribuidores-autorizados/mundilub,3344473725,industriagdl@mundillantasparedes.com,"Las Liebres, 45623 San Pedro Tlaquepaque, Jal., México"
804de554,VILLA CHAVEZ SA DE CV,Vendors_Images/804de554.Logo.170034.jpg,http://www.villachavez.com,3338256824,ventas@villachavez.com,"Calle Vidrio 1742, Col Americana, Americana, 44170 Guadalajara, Jal., México"
a5eff119,MANGUERAS Y CONEXIONES (ZETCH),Vendors_Images/a5eff119.Logo.160511.jpg,https://www.manguerasyconexiones.com/,3313366334,mercadotecnia@manguerasyconexiones.com,"Calz. Lázaro Cárdenas 869, La Nogalera, 44470 Guadalajara, Jal., México"
2c6c8db2,IMA NEUMATICA,Vendors_Images/2c6c8db2.Logo.171247.png,https://www.imaneumatica.com/,3338207685,daniel.galvan@automatizacionima.com,"C. Bartolomé Gutiérrez 3012, Echeverría, 44970 Guadalajara, Jal., México"
